Kabupaten/Kota + Provinsi;;;
;Jumlah Penduduk Menurut Jenis Kelamin (Jiwa);;
;Laki-Laki;Perempuan;Laki-laki+Perempuan
;2021;2021;2021
KALIMANTAN SELATAN;2086503;2036073;4122576
TANAH LAUT;181706;172634;354340
KOTABARU;170261;159222;329483
BANJAR;289057;283052;572109
BARITO KUALA;160534;156429;316963
TAPIN;96952;94849;191801
HULU SUNGAI SELATAN;115366;114594;229960
HULU SUNGAI TENGAH;131045;129709;260754
HULU SUNGAI UTARA;114211;114620;228831
TABALONG;130327;126576;256903
TANAH BUMBU;168407;159739;328146
BALANGAN;66821;65392;132213
KOTA BANJARMASIN;331640;330680;662320
KOTA BANJAR BARU;130176;128577;258753
